# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,179.5906340685777,0,-3.0,1.0571008072265695,0.0,0.0,0.0
 0.09453493079618415,1.0134049375565304,2.9999042229956094,179.5906340685777,-0.28360479238855246,-3.0,1.0571008072265695,0.0,-20.723633908460886,0.0
 0.13374402427299326,1.0268278008074934,2.9996179163354255,178.77807916948169,-0.40123207281897977,-2.9999999999999996,1.043580998043885,0.0,-26.670469789022867,0.0
 0.16386931690123052,1.0402679326196735,2.9991426165489314,177.9746234625548,-0.49160795070369157,-3.0,1.0297692313312707,0.0,-31.228213118624872,0.0
 0.1893018463611771,1.053724675859855,2.998479860165608,177.18041101243386,-0.5679055390835313,-2.999999999999997,1.0157013129447885,0.0,-34.97449351535868,0.0
 0.21174227207178326,1.0671973733948232,2.9976311837149385,176.3955684889364,-0.6352268162153497,-3.0000000000000013,1.001412039895365,0.0,-38.15671431318005,0.0
 0.2320627545972316,1.0806853680913624,2.996598123726405,175.62020564250687,-0.6961882637916947,-2.9999999999999987,0.9869350862087811,0.0,-40.910572687085974,0.0
 0.2507813832435673,1.0941880028162572,2.9953822167294892,174.85441582466842,-0.7523441497307017,-2.9999999999999956,0.9723029057348695,0.0,-43.32102146512124,0.0
 0.26823571031440535,1.1077046204362926,2.993984999253674,174.09827654697338,-0.804707130943216,-3.000000000000006,0.9575466514810177,0.0,-45.44598761852507,0.0
 0.28466018503741186,1.121234563818253,2.9924080078284407,173.35185007207087,-0.8539805551122355,-2.9999999999999964,0.9426961106646113,0.0,-47.32744646270474,0.0
 0.30022548796796256,1.1347771758289233,2.990652778983272,172.61518403094945,-0.9006764639038877,-3.000000000000007,0.9277796546786032,0.0,-48.99724507411534,0.0
 0.31506044387872323,1.1483317993350879,2.9887208492476502,171.88831206052618,-0.9451813316361697,-3.0,0.9128242031531855,0.0,-50.48043521485795,0.0
 0.32926510755271843,1.1618977772035315,2.986613755151058,171.17125445618225,-0.9877953226581552,-2.999999999999992,0.8978552009992792,0.0,-51.7973064358159,0.0
 0.34291901488201354,1.1754744523010392,2.984333033222976,170.4640188342005,-1.0287570446460406,-3.000000000000004,0.8828966074538359,0.0,-52.964689703954555,0.0
 0.35608661840543326,1.1890611674943952,2.981880219992888,169.76660079943787,-1.0682598552162998,-3.0000000000000084,0.8679708960988183,0.0,-53.99682756620872,0.0
 0.3688209996010588,1.2026572656503842,2.979256851990275,169.0789846138553,-1.1064629988031764,-3.0,0.8530990645435136,0.0,-54.90597454222136,0.0
 0.38116648217056637,1.2162620896357912,2.9764644657446206,168.4011438621825,-1.143499446511699,-2.9999999999999867,0.8383006530871813,0.0,-55.70282313497304,0.0
 0.3931605197002689,1.2298749823174004,2.973504597785406,167.73304211099122,-1.1794815591008065,-3.0,0.823593770861792,0.0,-56.39681341525934,0.0
 0.4048350898193844,1.2434952865619973,2.9703787846421132,167.07463355828014,-1.214505269458153,-3.000000000000005,0.8089951287267884,0.0,-56.99636277935014,0.0
 0.4162177440091416,1.2571223452363658,2.9670885628442254,166.42586367068884,-1.2486532320274248,-3.0000000000000147,0.7945200779121883,0.0,-57.509039659300136,0.0
 0.4273324116941961,1.2707555012072906,2.9636354689212236,165.7866698059891,-1.2819972350825886,-3.0000000000000098,0.7801826532666429,0.0,-57.94169707995149,0.0
 0.43820002549949233,1.2843940973415566,2.9600210394025908,165.1569818189007,-1.3146000764984773,-3.00000000000001,0.7659956206195799,0.0,-58.30057695698392,0.0
 0.44883901404594806,1.2980374765059488,2.956246810817809,164.53672264840364,-1.3465170421378445,-3.0,0.7519705270461391,0.0,-58.591392710770535,0.0
 0.45926569508048093,1.3116849815672513,2.9523143196963604,163.92580888523935,-1.377797085241443,-2.999999999999984,0.7381177535354523,0.0,-58.81939560567952,0.0
 0.46949459254863646,1.325335955392249,2.9482251025677275,163.32415131845,-1.4084837776459094,-2.9999999999999836,0.7244465694926507,0.0,-58.989428713467944,0.0
 0.47953869487851025,1.3389897408477267,2.943980695961392,162.73165546007112,-1.4386160846355307,-2.9999999999999947,0.7109651880749218,0.0,-59.105971348808545,0.0
 0.48940966729193863,1.352645680800469,2.9395826364068363,162.14822204741813,-1.4682290018758157,-2.999999999999989,0.6976808222418486,0.0,-59.17317610853695,0.0
 0.4991180277807738,1.36630311811726,2.9350324604335425,161.57374752248714,-1.4973540833423213,-3.0000000000000115,0.684599740806445,0.0,-59.19490008944546,0.0
 0.5086732940841087,1.3799613956648855,2.930331704570993,161.00812448833318,-1.526019882252326,-3.0000000000000173,0.671727324089986,0.0,-59.17473150288965,0.0
 0.5180841073124574,1.3936198563101294,2.92548190534867,160.4512421423218,-1.554252321937372,-2.999999999999988,0.6590681188875854,0.0,-59.11601259490849,0.0
 0.5273583366089745,1.4072778429197768,2.9204845992960555,159.90298668642083,-1.5820750098269236,-3.000000000000024,0.6466258923668499,0.0,-59.02185959165571,0.0
 0.5365031682936514,1.4209346983606115,2.915341322942632,159.3632417147385,-1.6095095048809542,-2.9999999999999756,0.6344036846430822,0.0,-58.89518021331892,0.0
 0.5455251822191778,1.434589765499419,2.9100536128178813,158.83188857870755,-1.6365755466575331,-2.9999999999999756,0.6224038599230848,0.0,-58.738689196723946,0.0
